user_id,age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
b0c0b4eaec8cbd48,33,F,City,Silver Membership,2017-04-17,No,Without Offers,Desktop,Mobile_Data,01:51:21,3,309.41,15095.13,27.0,718.14,Yes,No,No,Not Applicable,No reason specified,1
9c791fc894d2afba,45,M,City,Silver Membership,2017-09-03,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,22:53:33,15,242.25,25536.37,16.0,693.54,Yes,No,No,Not Applicable,Poor Website,1
85c707b64dbed307,61,F,City,Platinum Membership,2017-03-18,No,Credit/Debit Card Offers,Desktop,Wi-Fi,12:06:37,12,58.7,12879.91,5.0,0.0,No,Yes,No,Not Applicable,Poor Product Quality,0
9343a94e9d735413,57,M,City,Platinum Membership,2017-10-15,,Without Offers,Desktop,Wi-Fi,21:06:48,21,33.72,30657.21,19.0,1122.4489800953038,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0
8a90d1e2a115e3fc,55,F,City,Gold Membership,2017-01-26,No,Credit/Debit Card Offers,Desktop,Mobile_Data,14:57:24,2,32.26,19777.25,8.0,624.53,No,Yes,Yes,Solved,Too many ads,1
bd7f0d2c0032b392,14,F,Town,Silver Membership,2015-10-25,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,16:58:20,16,0.0,20329.83,20.0,681.26,Yes,No,Yes,Solved,Poor Product Quality,1
b62c21cb23ac7520,24,M,,Platinum Membership,2016-10-09,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,05:56:18,14,34.95,82717.62,2.0,506.0397150590644,Yes,No,Yes,Unsolved,User Friendly Website,0
abea70368bb4a7e2,60,M,Town,Basic Membership,2017-08-26,No,Credit/Debit Card Offers,Desktop,Wi-Fi,11:14:42,3,198.14,36756.81,13.0,588.29,Yes,No,No,Not Applicable,Poor Website,1
b96c990d8e860af1,64,M,,Basic Membership,2016-02-11,No,Gift Vouchers/Coupons,Both,Wi-Fi,17:41:19,7,332.79,37411.83,7.0,892.3462773281643,Yes,Yes,Yes,Solved,Poor Website,1
bb904bf4a7a078df,35,F,Village,Premium Membership,2017-04-25,,Credit/Debit Card Offers,Smartphone,Fiber_Optic,14:50:49,16,167.84,42914.91,38.62354281351143,66.36078265660365,Yes,No,Yes,Unsolved,User Friendly Website,0
8a096ad9169f7c16,26,F,City,No Membership,2016-02-22,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,22:07:02,14,328.8,22881.77,6.0,698.95,Yes,No,Yes,Unsolved,Poor Customer Service,1
