age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,recency,avg_time_spent,monetary,frequency,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,tenure_months,visit_hour,login_spend_ratio,login_transaction_ratio,user_id,churn_risk_score
40.0,F,City,Silver Membership,2025-01-01,No,Without Offers,Desktop,Mobile_Data,14.0,333.25,21440.09,18.0,749.31,Yes,No,No,Not Applicable,Products always in Stock,-8,10,18.51388888888889,0.0008395487145809556,b85b3149c460cd02,0
28.0,M,Town,Premium Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,15.0,199.5,24039.24,0.0,785.73,No,Yes,No,Not Applicable,Poor Website,-8,20,0.0,0.0,a1104d63857e3518,0
53.0,F,City,Silver Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,12.0,0.0,42831.04,29.0,760.71,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,-8,13,0.0,0.0006770790529485158,9f41691719c23c50,0
24.0,F,City,No Membership,2025-01-01,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,15.0,151.38,14447.79,21.0,524.27,Yes,No,Yes,No Information Available,Poor Website,-8,9,7.208571428571428,0.0014535094986845739,b0bd7ff94fcbad48,1
24.0,M,Town,Basic Membership,2025-01-01,No,Gift Vouchers/Coupons,Both,Mobile_Data,2.0,490.45,35861.63,10.0,606.14,No,Yes,Yes,Solved,Too many ads,-8,13,49.045,0.0002788495670721047,851797f6ac65d144,1
10.0,M,Town,Silver Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,10.0,214.37,62455.04000000001,0.0,0.0,Yes,Yes,No,Not Applicable,User Friendly Website,-8,14,0.0,0.0,ac1dc019bc849321,0
13.0,M,City,Premium Membership,2025-01-01,No,Without Offers,Desktop,Fiber_Optic,20.000000000000007,145.57,12081.009999999998,18.0,0.0,No,Yes,Yes,Unsolved,Poor Customer Service,-8,17,8.087222222222222,0.0014899416522294081,b6ed3a24a5d81e93,0
46.0,F,City,Basic Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,18.0,34.349999999999994,32889.37,5.0,719.2,No,Yes,Yes,Unsolved,Poor Website,-8,18,6.869999999999999,0.00015202480315068363,9e95ff39283aeb0e,0
49.0,M,City,Premium Membership,2025-01-01,No,Credit/Debit Card Offers,Desktop,Mobile_Data,12.0,172.58999999999997,76302.37,3.0,802.71,Yes,No,Yes,Solved in Follow-up,Products always in Stock,-8,1,57.529999999999994,3.931725842853898e-05,ad871e2bacae5bce,0
32.0,F,Town,Gold Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15.0,117.91,43075.99,24.0,660.87,Yes,No,Yes,Solved,Poor Customer Service,-8,7,4.912916666666667,0.0005571549255165117,b324df2d169d8d11,1
46.0,F,City,Basic Membership,2025-01-01,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,4.0,121.53,41497.78,26.0,577.65,No,Yes,No,Not Applicable,Poor Customer Service,-8,8,4.674230769230769,0.000626539540187451,b310c5b55a3fa40e,1
31.0,M,Town,Silver Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11.0,304.41,57914.82,9.0,796.87,No,Yes,Yes,No Information Available,Quality Customer Care,-8,20,33.82333333333334,0.00015540063838582249,8e4589362f4b4e27,0
19.0,M,City,Platinum Membership,2025-01-01,No,Credit/Debit Card Offers,Desktop,Mobile_Data,11.0,218.05,40544.35,0.0,373.944784549618,Yes,Yes,No,Not Applicable,Poor Website,-8,10,0.0,0.0,96eb2c3a283d5357,0
13.0,M,Town,Basic Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,7.0,476.7,18827.38,0.0,582.14,No,Yes,No,Not Applicable,No reason specified,-8,6,0.0,0.0,8db35fce84709e3b,1
20.0,F,Town,No Membership,2025-01-01,No,Without Offers,Desktop,Wi-Fi,7.0,485.38,7592.66,0.0,770.4147220729544,No,Yes,No,Not Applicable,No reason specified,-8,20,0.0,0.0,8bb857d7c18cf0cf,1
61.0,M,City,Basic Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,24.0,203.08,21223.13,27.0,1092.6295101762908,No,Yes,Yes,Solved,Too many ads,-8,22,7.521481481481482,0.0012721968908450355,8d8b06105582fe8a,1
37.0,F,City,No Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,8.0,863.6299999999999,1534.2200000000012,10.0,567.7,Yes,Yes,No,Not Applicable,No reason specified,-8,5,86.36299999999999,0.006517970043409676,986b0c9556e4d1af,1
29.0,M,City,No Membership,2025-01-01,Yes,Without Offers,Smartphone,Mobile_Data,12.0,138.13,44571.99,22.0,0.0,No,Yes,Yes,Solved in Follow-up,Too many ads,-8,9,6.278636363636363,0.00049358352633571,be574a1bef883a79,1
49.0,M,Town,Silver Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,9.0,175.5,32055.67,28.0,514.3039148958738,No,Yes,No,Not Applicable,No reason specified,-8,20,6.267857142857143,0.000873480417036986,a6b5ca4f35868dec,1
56.0,F,City,Silver Membership,2025-01-01,No,Without Offers,Smartphone,Wi-Fi,9.0,0.0,41933.42,24.0,701.83,Yes,No,Yes,No Information Available,Poor Product Quality,-8,21,0.0,0.0005723358600371732,8146c60e7c642bee,0
