age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,recency,avg_time_spent,monetary,frequency,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,tenure_months,visit_hour,login_spend_ratio,login_transaction_ratio,user_id,churn_risk_score
30.0,M,Town,Platinum Membership,2025-04-01,No,Without Offers,Desktop,Mobile_Data,22.0,78.44,32884.42,0.0,509.8132468073549,No,Yes,No,Not Applicable,Poor Customer Service,-11,12,0.0,0.0,8956766f385e2ac1,
27.0,F,Town,Basic Membership,2025-04-01,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,15.0,277.58,48599.35,16.0,655.24,No,Yes,No,Not Applicable,Poor Website,-11,21,17.34875,0.00032922251017760524,88f0d57d62d2bfe1,
35.0,F,City,Silver Membership,2025-04-01,No,Credit/Debit Card Offers,Desktop,Wi-Fi,23.0,290.44,50492.72,9.0,740.43,Yes,Yes,Yes,No Information Available,Quality Customer Care,-11,22,32.27111111111111,0.00017824351708523525,8e6ad754abe36339,
60.0,F,Town,Basic Membership,2025-04-01,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,9.0,52.93000000000001,33975.93,25.0,696.44,No,Yes,No,Not Applicable,Poor Website,-11,10,2.1172000000000004,0.0007358150314060571,873291626d308f97,
27.0,F,City,Premium Membership,2025-04-01,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14.0,33.31999999999999,3758.579999999998,17.0,0.0,No,Yes,No,Not Applicable,Poor Website,-11,13,1.9599999999999995,0.004522984744238518,80a5321f0c946f95,
20.0,F,City,Gold Membership,2025-04-01,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,13.0,85.01,22072.08,16.0,1100.8215731028636,No,Yes,Yes,Unsolved,Poor Customer Service,-11,1,5.313125,0.0007248976988122551,9d739894210a7a30,
53.0,M,City,Platinum Membership,2025-04-01,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11.0,215.35,38094.27,17.0,753.38,No,Yes,No,Not Applicable,User Friendly Website,-11,3,12.66764705882353,0.00044626134061631845,be3eaa63146e6eb5,
59.0,M,Town,Basic Membership,2025-04-01,No,Without Offers,Desktop,Mobile_Data,7.0,328.11,22603.99,5.517470005708095,563.14,No,Yes,Yes,Solved,Poor Website,-11,11,59.46747325505241,0.0002440927467101204,94348b926925fb67,
51.0,M,Town,Platinum Membership,2025-04-01,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10.0,150.77,5247.039999999997,11.0,710.35,Yes,No,No,Not Applicable,No reason specified,-11,11,13.706363636363637,0.0020964200768433263,93a7eaa0246a32a5,
23.0,M,City,No Membership,2025-04-01,No,Without Offers,Desktop,Wi-Fi,11.0,320.59,22112.71,0.0,613.08,No,Yes,No,Not Applicable,No reason specified,-11,3,0.0,0.0,8e44378944cb5238,
38.0,F,Village,Basic Membership,2025-04-01,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7.0,193.33,45097.34,20.0,670.43,No,Yes,Yes,No Information Available,Poor Product Quality,-11,18,9.666500000000001,0.00044348513681738216,8c4029738c825c86,
48.0,M,City,Premium Membership,2025-04-01,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,24.0,0.0,36916.84,0.0,798.88,Yes,No,Yes,No Information Available,No reason specified,-11,22,0.0,0.0,a888a74ad243df2a,
19.0,F,Town,Silver Membership,2025-04-01,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,-999.0,490.92999999999995,44981.05,19.0,726.4,No,Yes,No,Not Applicable,Reasonable Price,-11,4,25.838421052631578,0.00042240009959749715,9c9bf0d7f90b621e,
36.0,M,City,Basic Membership,2025-04-01,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,-999.0,102.34,2280.079999999998,26.0,0.0,Yes,No,Yes,Solved,Too many ads,-11,17,3.936153846153846,0.011403108662853944,86fa42bc251ca8d8,
