user_id,age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
b85b3149c460cd02,40,,City,Silver Membership,2025-01-01,No,Without Offers,Desktop,Mobile_Data,10:11:30,14,333.25,21440.09,18.0,749.31,Yes,No,No,Not Applicable,Products always in Stock,0
a1104d63857e3518,28,M,Town,Premium Membership,2025-01-01,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,20:59:51,15,199.5,24039.24,0.0,785.73,No,Yes,No,Not Applicable,Poor Website,0
9f41691719c23c50,53,F,City,Silver Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13:18:21,12,0.0,42831.04,29.0,760.71,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,0
b0bd7ff94fcbad48,24,F,,No Membership,2025-01-01,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,09:26:35,15,151.38,14447.79,21.0,524.27,Yes,No,Yes,No Information Available,Poor Website,1
851797f6ac65d144,24,M,Town,Basic Membership,2025-01-01,No,Gift Vouchers/Coupons,Both,Mobile_Data,13:46:13,2,490.45,35861.63,10.0,606.14,No,Yes,Yes,Solved,Too many ads,1
ac1dc019bc849321,10,M,Town,Silver Membership,2025-01-01,,Credit/Debit Card Offers,Smartphone,Wi-Fi,14:59:29,10,214.37,62455.04,0.0,0.0,Yes,Yes,No,Not Applicable,User Friendly Website,0
b6ed3a24a5d81e93,13,M,City,Premium Membership,2025-01-01,No,Without Offers,Desktop,Fiber_Optic,17:35:08,20,145.57,12081.01,18.0,0.0,No,Yes,Yes,Unsolved,Poor Customer Service,0
9e95ff39283aeb0e,46,F,City,Basic Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,18:37:13,18,34.35,32889.37,5.0,719.2,No,Yes,Yes,Unsolved,Poor Website,0
ad871e2bacae5bce,49,M,City,Premium Membership,2025-01-01,,Credit/Debit Card Offers,,Mobile_Data,01:16:42,12,172.59,76302.37,3.0,802.71,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
b324df2d169d8d11,32,F,Town,Gold Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,07:20:22,15,117.91,43075.99,24.0,660.87,Yes,No,Yes,Solved,Poor Customer Service,1
b310c5b55a3fa40e,46,F,City,Basic Membership,2025-01-01,,Gift Vouchers/Coupons,,Fiber_Optic,08:44:21,4,121.53,41497.78,26.0,577.65,No,Yes,No,Not Applicable,Poor Customer Service,1
8e4589362f4b4e27,31,M,Town,Silver Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,20:03:17,11,304.41,57914.82,9.0,796.87,No,Yes,Yes,No Information Available,Quality Customer Care,0
96eb2c3a283d5357,19,M,City,Platinum Membership,2025-01-01,No,Credit/Debit Card Offers,Desktop,Mobile_Data,10:41:03,11,218.05,40544.35,0.0,373.944784549618,Yes,Yes,No,Not Applicable,Poor Website,0
8db35fce84709e3b,13,M,Town,Basic Membership,2025-01-01,Yes,Gift Vouchers/Coupons,,Mobile_Data,06:30:10,7,476.7,18827.38,0.0,582.14,No,Yes,No,Not Applicable,No reason specified,1
8bb857d7c18cf0cf,20,F,Town,No Membership,2025-01-01,No,Without Offers,,Wi-Fi,20:16:53,7,485.38,7592.66,0.0,770.4147220729544,No,Yes,No,Not Applicable,No reason specified,1
8d8b06105582fe8a,61,M,City,Basic Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:43:32,24,203.08,21223.13,27.0,1092.6295101762908,No,Yes,Yes,Solved,Too many ads,1
986b0c9556e4d1af,37,F,City,No Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,05:00:51,8,863.63,1534.22,10.0,567.7,Yes,Yes,No,Not Applicable,No reason specified,1
be574a1bef883a79,29,M,City,No Membership,2025-01-01,Yes,Without Offers,Smartphone,Mobile_Data,09:45:41,12,138.13,44571.99,22.0,0.0,No,Yes,Yes,Solved in Follow-up,Too many ads,1
a6b5ca4f35868dec,49,M,,Silver Membership,2025-01-01,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,20:35:29,9,175.5,32055.67,28.0,514.3039148958738,No,Yes,No,Not Applicable,No reason specified,1
8146c60e7c642bee,56,F,,Silver Membership,2025-01-01,No,Without Offers,Smartphone,Wi-Fi,21:29:15,9,0.0,41933.42,24.0,701.83,Yes,No,Yes,No Information Available,Poor Product Quality,0
b9f7b7725db44afa,37,M,Town,Silver Membership,2025-01-01,No,Credit/Debit Card Offers,,Fiber_Optic,07:11:09,-999,234.76,32740.58,8.0,206.0547441927692,No,Yes,Yes,Solved,Products always in Stock,0
973420a1a1da3cec,53,M,City,No Membership,2025-01-01,No,Without Offers,,Mobile_Data,14:24:19,13,340.01,49711.97,16.0,556.3,No,Yes,No,Not Applicable,Poor Product Quality,1
88e0ce5f007872a2,11,M,,No Membership,2025-01-01,,Credit/Debit Card Offers,Smartphone,Wi-Fi,22:19:16,13,85.99,39515.73,22.0,502.76,No,Yes,Yes,Unsolved,Too many ads,1
8f1c00dd63006913,20,M,Town,No Membership,2025-01-01,No,Without Offers,Desktop,Mobile_Data,06:09:12,5,233.9,4457.89,10.0,0.0,Yes,Yes,Yes,No Information Available,Poor Product Quality,1
a2ce1d2ab2d4ae57,22,M,Village,No Membership,2025-01-01,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,01:31:52,15,103.15,6017.41,0.0,613.82,Yes,No,Yes,Solved,Poor Customer Service,1
ada2b3dcfea284f1,27,M,Town,No Membership,2025-01-01,,Without Offers,Smartphone,Mobile_Data,16:18:47,5,184.3,2811.56,19.0,680.47,No,Yes,Yes,Unsolved,Poor Customer Service,1
971f97b063a7f699,28,M,Town,Silver Membership,2025-01-01,,Gift Vouchers/Coupons,Smartphone,Mobile_Data,19:10:31,7,136.25,47254.32,16.0,714.0,Yes,No,No,Not Applicable,Poor Product Quality,1
bd9f9e6073fd6e66,31,F,Town,No Membership,2025-01-01,Yes,Credit/Debit Card Offers,Both,Mobile_Data,21:38:33,-999,804.55,24317.28,16.0,663.91,Yes,Yes,Yes,Solved,Too many ads,1
84c9d0d4b496e585,51,M,City,Gold Membership,2025-01-01,No,Credit/Debit Card Offers,,Wi-Fi,04:27:17,16,102.43,32562.23,7.0,612.58,Yes,No,No,Not Applicable,No reason specified,1
ba341ed2f0a0241f,54,F,Town,Platinum Membership,2025-01-01,No,Without Offers,Both,Wi-Fi,08:47:40,6,477.28,16030.0,18.0,799.83,Yes,No,Yes,Solved,Poor Product Quality,0
8002b0af050b8c03,47,F,Town,No Membership,2025-01-01,Yes,Without Offers,,Fiber_Optic,09:18:57,7,623.14,6577.58,12.0,573.23,Yes,No,No,Not Applicable,Poor Product Quality,1
977d8f8d51643a47,55,M,City,Gold Membership,2025-01-01,Yes,Without Offers,Smartphone,Fiber_Optic,01:59:19,4,0.0,39265.43,8.0,678.46,Yes,Yes,No,Not Applicable,Poor Website,1
9253b3acab7d00da,51,M,Town,Basic Membership,2025-01-01,Yes,Without Offers,Both,Wi-Fi,14:38:57,16,280.72,36511.13,0.0,613.25,Yes,No,No,Not Applicable,No reason specified,1
